Organization Name,Address,Tel-no,Category,Keywords
UPMC EMERGENCY MEDICINE INC,815 FREEPORT RD  PITTSBURGH United States 152153301 PA,412-784-4000,Emergency Medicine,
UPMC ST.MARGARET,815 FREEPORT RD ADMINISTRATION PITTSBURGH United States 152153301 PA,412-647-0943,Physician Assistant Surgical,
UPMC PRESBY SHADYSIDE,5230 CENTRE AVE  PITTSBURGH United States 152321304 PA,412-647-0943,Hospitalist,
COMPRESSION MANAGEMENT SERVICES INC,580 S AIKEN AVE STE 420 PITTSBURGH United States 152321531 PA,412-682-6335,Durable Medical Equipment & Medical Supplies,
UPMC ST.MARGARET,815 FREEPORT RD 100 MED ARTS BLDG SUITE 105 PITTSBURGH United States 152153301 PA,412-647-0943,Internal Medicine Geriatric Medicine,
"BIO-MEDICAL APPLICATIONS OF PENNSYLAVANIA, INC.",1401 FORBES AVE FMC THREE RIVERS - CKD SERVICES PITTSBURGH United States 152195125 PA,412-281-8233,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
"TRI-CARE HOME CARE, INC",801 MCNEILLY RD UNIT 1B PITTSBURGH United States 152262547 PA,412-942-0888,Home Health,
"UROLOGIC ASSOCIATES OF WESTERN PENNSYLVANIA, LTD.",200 DELAFIELD ROAD SUITE 3060 PITTSBURGH United States 152153205 PA,412-781-6448,Specialist,
MERCY NEUROSURGERY GROUP,1501 LOCUST ST SUITE 224 PITTSBURGH United States 152195136 PA,412-471-4772,Neurological Surgery,Surgery
D. SINGH MD AND ASSOCIATES,4520 PENN AVE  PITTSBURGH United States 152241314 PA,412-622-4927,Internal Medicine,
ASSOCIATES IN CLINICAL PSYCHIATRY PC,110 FORT COUCH RD SUITE G200 PITTSBURGH United States 152411030 PA,412-347-0170,Psychiatry & Neurology Psychiatry,
SORSDAL & CO SERVICES LLC,300 CEDAR BLVD SUITE 206 PITTSBURGH United States 152281155 PA,412-515-8840,Home Health,
"SOUTHWESTERN PA PULMONARY AND SLEEP MEDICINE, LTD.",100 MCCONNELLS MILL LN  PITTSBURGH United States 152281080 PA,412-889-3085,Internal Medicine Pulmonary Disease,
ALLEGHENY CLINIC MEDICAL ONCOLOGY,247 MOREWOOD AVE  PITTSBURGH United States 152131861 PA,412-770-1826,Internal Medicine Hematology & Oncology,
"PLASTIC SURGICAL ASSOCIATES OF PITTSBURGH, P.C.",1050 BOWER HILL RD SUITE 105 PITTSBURGH United States 152431800 PA,412-572-6164,Plastic Surgery,Surgery
IRON CITY PHYSICAL THERAPY,321 PENNWOOD AVE STE 201A  PITTSBURGH United States 152213308 PA,503-453-2900,Physical Therapist,
GERIATRIC PSYCHOLOGICAL ASSOCIATE INC,122 EMERSON AVE  PITTSBURGH United States 152153208 PA,412-782-3510,Psychologist Clinical,
PITTSBURGH VAMC,UNIVERSITY DR C  PITTSBURGH United States 152401000 PA,717-277-6565,General Acute Care Hospital,
"SWIFT AND ASSOCIATES AUDIOLOGY & HEARING AIDS, INC.",1699 WASHINGTON RD SUITE 101 PITTSBURGH United States 152281629 PA,412-851-9500,Audiologist-Hearing Aid Fitter,Eye and Ear Care
PITTSBURGH VAMC,UNIVERSITY DRIVE C  PITTSBURGH United States 152401000 PA,412-360-3389,Department of Veterans Affairs (VA) Pharmacy,Pharmacy
"ADVANTAGE HOME HEALTH SERVICES, LLC",5035 CLAIRTON BLVD  PITTSBURGH United States 15236 PA,412-440-0142,Home Health,
UNIVERSITY OF PITTSBURGH PHYSICIANS,4401 PENN AVE  PITTSBURGH United States 15224 PA,412-692-5325,Pediatrics,
EMPIRE VISION CENTERS INC,120 5TH AVE PLACE M-110 PITTSBURGH United States 15222 PA,412-471-1306,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
"UNIVERSITY DENTAL HEALTH SERVICES, INC.",3501 TERRACE STREET SUITE 3189 PITTSBURGH United States 15261 PA,412-648-9100,Dentist General Practice,Dental Care
UPMC MAGEE-WOMENS HOSPITAL,300 HALKET ST  PITTSBURGH United States 15213 PA,412-647-0943,Obstetrics & Gynecology,Women & Reproductive Care
ERB PHYSICAL THERAPY P.C.,101 TOWNESQUARE WAY SUITE 281 PITTSBURGH United States 152273259 PA,412-882-4140,Physical Therapist,
"WOMENS GYNECOLOGIC ASSOCIATES, PC",580 S AIKEN AVE SUITE 500 PITTSBURGH United States 152321531 PA,412-688-3653,Obstetrics & Gynecology Gynecology,Women & Reproductive Care
NORTH HILLS ANESTHESIA ASSOCIATES,9100 BABCOCK BLVD  PITTSBURGH United States 152375815 PA,412-367-5589,Anesthesiology,
"MT. LEBANON DERMATOLOGY, PC",607 WASHINGTON RD LOWER LEVEL PITTSBURGH United States 152281903 PA,412-440-0270,Dermatology Procedural Dermatology,
"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC","ROBINSON PLAZA #3, STE. 110, RT 60 FMC MEDICAL SERVICES OF OHIO VALLEY - CKD SERVICES PITTSBURGH United States 15205 PA",412-494-6902,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
HELOMICS CORPORATION,2516 JANE ST  PITTSBURGH United States 152032216 PA,412-432-1500,Clinical Medical Laboratory,
"FORT COUCH EYE CARE ASSOCIATES, P.C.",7189 SALTSBURG RD  PITTSBURGH United States 152352252 PA,412-704-7941,Optometrist,
MD PATHOLOGY ASSOC PC,1400 LOCUST ST  PITTSBURGH United States 15219 PA,412-232-7245,Pathology Anatomic Pathology & Clinical Pathology,
"ALLEGHENY NEUROSURGERY & SPINE ASSOCIATES, P.C.",420 E NORTH AVE SUITE 302 PITTSBURGH United States 152124746 PA,412-321-3033,Specialist,
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",4800 FRIENDSHIP AVE  PITTSBURGH United States 152241722 PA,412-578-7120,Pathology Anatomic Pathology,
"MARINO CHIROPRACTIC, PC",507 GREENFIELD AVE  PITTSBURGH United States 152071051 PA,412-421-3060,Chiropractor,
MOUNT LEBANON SCHOOL DISTRICT,7 HORSMAN DR  PITTSBURGH United States 152281128 PA,412-344-2044,Local Education Agency (LEA),
"ROSENBLOOM & LEBOVITZ VISION CENTER, INC",428 FORBES AVE 2020 LAWYERS BUILDING PITTSBURGH United States 152191614 PA,412-391-5040,Optometrist,
"PITTSBURGH MEDICAL ASSOCIATES, P.C.",1350 LOCUST ST SUITE 100 PITTSBURGH United States 152194738 PA,412-562-3292,Internal Medicine,
"COMMUNITY FAMILY PRACTICE ASSOCIATES, PC",1713 ARDMORE BLVD  PITTSBURGH United States 152214405 PA,412-247-3222,Family Medicine,
"R.CHANDRA, M.D.,P.C.",1517 FOX CHASE LN  PITTSBURGH United States 152413147 PA,412-519-4064,Pediatrics Pediatric Gastroenterology,
"FRIEDBERG, ROSENBLOOM & LEBOVITZ, P.C.",428 FORBES AVE 2020 LAWYERS BUILDING PITTSBURGH United States 152191614 PA,412-391-5040,Optometrist,
"MEDICAL REHABILITATION, INC.",1350 LOCUST ST SUITE 409 PITTSBURGH United States 152194738 PA,412-232-7608,Rehabilitation Practitioner,Mental Health and Rehabilitation
"ASERACARE HOME HEALTH - PITTSBURGH, LLC",300 PENN CENTER BLVD SUITE 601 PITTSBURGH United States 152355511 PA,412-271-2273,Home Health,
ACCENT ON BODY COSMETIC SURGERY PC,1000 CLIFFMINE RD PARK WEST ONE SUITE 120 PITTSBURGH United States 152751022 PA,412-466-0391,Plastic Surgery,Surgery
"MCMAHON ORTHOPEDICS & REHABILITATION, LLC",2100 JANE ST  PITTSBURGH United States 152032065 PA,412-431-7342,Orthopaedic Surgery,Surgery
TRI-STATE NEUROSURGICAL ASSOCIATES INC,200 LOTHROP ST SUITE 5C PUH PITTSBURGH United States 152132546 PA,412-647-0943,Neurological Surgery,Surgery
NOVAK BERKOWITZ AND ROSENBERG PC,532 S AIKEN AVE SUITE 520 PITTSBURGH United States 152321521 PA,412-621-5822,Ophthalmology,
"ALLIANCE PHYSICAL THERAPY AND REHABILITATION SERVICES, INC.",324 RODI RD  PITTSBURGH United States 152353318 PA,412-242-7880,Clinic/Center,
"WOLF, KANE & ASSOCIATES",8101 PERRY HWY  PITTSBURGH United States 152375213 PA,412-367-3233,Podiatrist Foot & Ankle Surgery,Surgery
ALLEGHENY MEDICAL PRACTICE NETWORK,6301 FORBES AVE SUITE 100 PITTSBURGH United States 152171725 PA,412-422-3555,Family Medicine,
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",4800 FRIENDSHIP AVE  PITTSBURGH United States 152241722 PA,412-578-5442,Emergency Medicine,
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",4800 FRIENDSHIP AVE  PITTSBURGH United States 152241722 PA,412-578-5752,Internal Medicine Cardiovascular Disease,
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",4800 FRIENDSHIP AVE  PITTSBURGH United States 152241722 PA,412-578-1949,Internal Medicine Pulmonary Disease,
"PRESBY HEALTH RESOURCE MANAGEMENT, INC",1370 BEULAH RD BUILDING 701 PITTSBURGH United States 152355068 PA,412-473-6920,Nursing Care,
KEYSTONE REHABILITATION SYSTEMS INC,434 BOULEVARD OF THE ALLIES  PITTSBURGH United States 152191314 PA,412-392-0299,Clinic/Center Physical Therapy,
PROFESSIONAL SPECIALIZED PHARMACIES LLC,2362 GOLDEN MILE HWY  PITTSBURGH United States 152392710 PA,724-387-2260,Pharmacist,Pharmacy
"GLAUCOMA-CATARACT CONSULTANTS, INC.",1145 BOWER HILL RD SUITE 205 PITTSBURGH United States 152431342 PA,412-572-6121,Ophthalmology,
GASTROENTEROLOGY ASSOCIATES OF PITTSBURGH PC,3285 BABCOCK BLVD  PITTSBURGH United States 15237 PA,412-318-0075,Specialist,
SAMS EAST INC,289 MOUNT NEBO POINTE RD  PITTSBURGH United States 152371313 PA,412-364-6815,Pharmacy Community/Retail Pharmacy,Pharmacy
"ANESTHESIOLOGY CONSULTANTS OF SOUTHWESTERN PENNSYLVANIA, PC",7 PARKWAY CENTER SUITE 375 PITTSBURGH United States 15220 PA,412-937-5700,"Nurse Anesthetist, Certified Registered",
"GREATER PITTSBURGH ORTHOPAEDIC ASSOCIATES, INC.",5820 CENTRE AVE  PITTSBURGH United States 152063710 PA,412-661-5500,Orthopaedic Surgery,Surgery
HEALTH HOPE NETWORK,1100 LIBERTY AVE STE E200  PITTSBURGH United States 152224240 PA,412-904-3036,Voluntary or Charitable,
ADLER & KRAUSE CARDIOLOGY,21 YOST BLVD SUITE 217 PITTSBURGH United States 152215283 PA,412-823-3300,Specialist,
SOUTHWESTERN HUMAN SERVICES,110 FORT COUCH RD  PITTSBURGH United States 152411030 PA,412-831-1223,Public Health or Welfare,
DE LA TORRE ORTHOTICS & PROSTHETICS INC,5750 CENTRE AVE SUITE 210 PITTSBURGH United States 152063721 PA,412-665-1900,Prosthetic/Orthotic Supplier,
MLG PODIATRY INC,730 BROWNSVILLE RD  PITTSBURGH United States 152102300 PA,412-381-4830,Podiatrist,
VA PITTSBURGH HEALTHCARE SYSTEM,UNIVERSITY DRIVE C  PITTSBURGH United States 15240 PA,412-688-6000,Special Hospital,
"WEST PENN CARDIOLOGY ASSOCIATES, P.C.",5140 LIBERTY AVE  PITTSBURGH United States 152242215 PA,412-682-1000,Internal Medicine Cardiovascular Disease,
"MEDICAL & SURGICAL EYE ASSOCIATES, INC.",2400 ARDMORE BLVD SUITE 200 PITTSBURGH United States 15221 PA,412-351-3062,Ophthalmology,
ALLIANCE FAMILY CHIROPRACTIC P.C.,1386 OLD FREEPORT RD SUITE 1A PITTSBURGH United States 152383115 PA,412-963-0655,Chiropractor,
OAKTREE CANCER CARE INC,1145 BOWER HILL RD SUITE 105 PITTSBURGH United States 152431342 PA,412-279-3694,Radiology Radiation Oncology,Radiology
"P.K. MULLICK, MD & ASSOCIATES PC",4608 PENN AVE  PITTSBURGH United States 152241309 PA,412-621-4757,Psychiatry & Neurology Psychiatry,
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",4815 LIBERTY AVE SUITE 338 PITTSBURGH United States 152242156 PA,412-578-0282,Surgery,Surgery
BACK AND NECK CARE CENTER P.C.,2165 NOBLESTOWN RD  PITTSBURGH United States 15205 PA,412-922-2010,Chiropractor,
CENK CHIROPRACTIC LLC,107 GAMMA DR SUITE 100 PITTSBURGH United States 152382917 PA,412-967-9767,Chiropractor,
SMOOKE CHIROPRACTIC CLINIC INC,828 HAZELWOOD AVENUE  PITTSBURGH United States 15217 PA,412-422-4321,Chiropractor,
AMERICA'S BEST CONTACTS & EYEGLASSES,175 QUINN DR  PITTSBURGH United States 152751013 PA,412-788-1691,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
ASSOCIATES IN PODIATRY PC,3000 BROWNSVILLE RD  PITTSBURGH United States 152272469 PA,412-881-5580,Podiatrist Foot & Ankle Surgery,Surgery
CONSOLIDATED VISION GROUP,817 LIBERTY AVE  PITTSBURGH United States 152223703 PA,412-261-9800,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
AMERICA'S BEST CONTACTS & EYEGLASSES,8000 MCKNIGHT RD STE 2328  PITTSBURGH United States 152373015 PA,412-367-4004,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
AMERICA'S BEST CONTACTS & EYEGLASSES,10 OLD CLAIRTON RD  PITTSBURGH United States 152363923 PA,412-653-6550,"Eyewear Supplier (Equipment, not the service)",Eye and Ear Care
WALGREEN CO,6201 SALTSBURG RD  PITTSBURGH United States 152352067 PA,412-793-7328,Pharmacy,Pharmacy
PITTSBURGH VAMC,1010 DELAFIELD RD  PITTSBURGH United States 152151802 PA,717-277-6565,Psychiatric Residential Treatment Facility,
PROFESSIONAL SPECIALIZED PHARMACIES LLC,1095 UNITY CENTER ROAD  PITTSBURGH United States 152391317 PA,412-793-6500,Pharmacist,Pharmacy
"FIVE STAR QUALITY CARE - GHV, LLC",5250 MEADOWGREEN DR  PITTSBURGH United States 152361851 PA,412-881-8300,Assisted Living Facility,
"FIVE STAR QUALITY CARE - GHV, LLC",5301 BROWNSVILLE RD  PITTSBURGH United States 152362901 PA,412-653-6870,Assisted Living Facility,
"FIVE STAR QUALITY CARE - GHV, LLC",600 NEWPORT DR  PITTSBURGH United States 152342653 PA,412-561-5557,Assisted Living Facility,
"CHIROPRACTIC ASSOCIATES OF PITTSBURGH, P.C.",1310 FREEPORT RD  PITTSBURGH United States 152383162 PA,412-963-7400,Chiropractor,
"ROMANO, PONTZER & ASSOCIATES, LIMITED",9104 BABCOCK BLVD STE 6118 PITTSBURGH United States 152375818 PA,412-348-0330,Internal Medicine Infectious Disease,
DAVID PHYSICAL THERAPY AND SPORTS MEDICINE CENTER INC.,433 CASTLE SHANNON BLVD  PITTSBURGH United States 152341405 PA,412-344-9044,Physical Therapist,
"PITTSBURGH CARDIOLOGY CONSULTANTS, P.C.",5200 CENTRE AVE SUITE 703 PITTSBURGH United States 152321300 PA,412-687-8300,Internal Medicine Cardiovascular Disease,
IN HOME HEALTH LLC,"750 HOLIDAY DR BLDG 9, SUITE 110 PITTSBURGH United States 152202769 PA",412-928-2126,Home Health,
PITTSBURGH VAMC,1010 DELAFIELD RD  PITTSBURGH United States 152151802 PA,717-277-6565,General Acute Care Hospital,
ARDEN COURTS-NORTH HILLS OF PITTSBURGH PA LLC,1125 PERRY HWY  PITTSBURGH United States 152372114 PA,412-369-7887,Assisted Living Facility,
MANOR CARE-GREENTREE OF PITTSBURGH PA LLC,1848 GREENTREE RD  PITTSBURGH United States 152201851 PA,412-344-7744,Skilled Nursing Facility,
WHITEHALL BOROUGH-PITTSBURGH PA LLC,505 WEYMAN RD  PITTSBURGH United States 152361584 PA,412-884-3500,Skilled Nursing Facility,
"HEARTLAND OF PITTSBURGH PA, LLC",550 S NEGLEY AVE  PITTSBURGH United States 152321658 PA,412-665-2400,Skilled Nursing Facility,
SKY VUE TERRACE-PITTSBURGH PA LLC,2170 RHINE ST  PITTSBURGH United States 152123569 PA,412-323-0420,Skilled Nursing Facility,
SHADYSIDE NURSING AND REHABILITATION CENTER-PITTSBURGH PA LLC,5609 5TH AVE  PITTSBURGH United States 152322601 PA,412-362-3500,Skilled Nursing Facility,
MANOR CARE-NORTH HILLS OF PITTSBURGH PA LLC,1105 PERRY HWY  PITTSBURGH United States 152372114 PA,412-369-9955,Skilled Nursing Facility,
GAMMA SURGERY CENTER LLC,107 GAMMA DRIVE SUITE 200 PITTSBURGH United States 152382917 PA,412-963-7917,Clinic/Center Ambulatory Surgical,
"LESLEY DEGIOVANNI MD, PC",717 WASHINGTON RD  PITTSBURGH United States 152282001 PA,412-341-7887,Internal Medicine,
NOBLESTOWN PHARMACY SERVICES LLC,2103 NOBLESTOWN RD  PITTSBURGH United States 152053936 PA,412-921-7731,Pharmacy Community/Retail Pharmacy,Pharmacy
UPMC CHILDREN'S HOSPITAL OF PITTSBURGH DENTAL PROGRAM,3705 5TH AVE GROUND FLOOR PITTSBURGH United States 15213 PA,412-692-5440,Clinic/Center Dental,
KEYSTONE REHABILITATION SYSTEMS INC,2961 W LIBERTY AVE  PITTSBURGH United States 152162546 PA,412-572-3193,Clinic/Center Rehabilitation,Mental Health and Rehabilitation
KEYSTONE REHABILITATION SYSTEMS INC,5225 GRACE ST  PITTSBURGH United States 152362745 PA,412-882-6020,Clinic/Center Rehabilitation,Mental Health and Rehabilitation
KEYSTONE REHABILITATION SYSTEMS INC,5700 CORPORATE DRIVE SUITE 150 PITTSBURGH United States 152375829 PA,412-369-0515,Clinic/Center Rehabilitation,Mental Health and Rehabilitation
KEYSTONE REHABILITATION SYSTEMS INC,180 FORT COUCH RD FORT COUCH TOWERS BUILDING PITTSBURGH United States 152411041 PA,412-831-2060,Clinic/Center Rehabilitation,Mental Health and Rehabilitation
"QUEST DIAGNOSTICS OF PENNSYLVANIA, INC.",875 GREENTREE RD FOUR PARKWAY CENTER PITTSBURGH United States 152203610 PA,800-295-6598,Clinical Medical Laboratory,
WALGREEN CO.,5956 CENTRE AVE  PITTSBURGH United States 152063850 PA,412-362-6328,Pharmacy,Pharmacy
ADVANCED ONCOLOGY HEMATOLOGY ASSOCIATES,2100 JANE STREET SUITE 803N PITTSBURGH United States 15203 PA,412-381-2848,Internal Medicine Hematology & Oncology,
"PEDIATRICS SOUTH, INC.",240 MOUNT LEBANON BLVD  PITTSBURGH United States 152341243 PA,412-561-7541,Pediatrics,
MEDICAL & SURGICAL EYE ASSOCIATES INC,2400 ARDMORE BLVD SUITE 201 PITTSBURGH United States 152215299 PA,412-351-2017,Ophthalmology,
"BLOCK MEDICAL ASSOCIATES, PC",385 WILLIAM PITT WAY  PITTSBURGH United States 152381329 PA,412-826-9380,Internal Medicine Gastroenterology,
ROSEWOOD CANCER CARE INC,521 E BRUCETON RD  PITTSBURGH United States 152364521 PA,412-653-8944,Radiology Radiation Oncology,Radiology
LIFECARE HOSPITALS OF PITTSBURGH,225 PENN AVENUE  PITTSBURGH United States 152212173 PA,412-247-2356,Long Term Care Hospital,
EYE RESPONSE TECHNOLOGIES INC.,2100 WHARTON STREET SUITE 200 PITTSBURGH United States 152031942 PA,800-344-1778,Durable Medical Equipment & Medical Supplies,
"CARDIOVASCULAR DISEASE SPECIALISTS OF PITTSBURGH, PC",5750 CENTRE AVENUE SUITE 510 PITTSBURGH United States 15206 PA,412-924-1100,Specialist,
"NORTH BOROUGHS OB/GYN ASSOC., LTD.",9104 BABCOCK BLVD SUITE 2110 PITTSBURGH United States 152375818 PA,412-364-4184,Obstetrics & Gynecology,Women & Reproductive Care
PITTSBURGH CARDIAC ELECTROPHYSIOLOGY ASSOCIATES PC,5125 LIBERTY AVE  PITTSBURGH United States 152242217 PA,412-687-8838,Internal Medicine Clinical Cardiac Electrophysiology,
MED-FAST PHARMACY INC,3335 WILLIAM PENN HWY  PITTSBURGH United States 152355242 PA,412-829-7370,Pharmacy Community/Retail Pharmacy,Pharmacy
BENNETT-OBRINGER PULMONARY ASSOCIATES,4815 LIBERTY AVE SUITE 456 PITTSBURGH United States 152242156 PA,412-681-2103,Internal Medicine Pulmonary Disease,
SSOP,1400 LOCUST ST SUITE 6538 PITTSBURGH United States 152195114 PA,724-527-9525,Surgery Trauma Surgery,Surgery
"MT LEBANON INTERNAL MEDICINE, PC",300 CEDAR BLVD  PITTSBURGH United States 152281155 PA,412-561-1484,Internal Medicine,
"STO-ROX NEIGHBORHOOD HEALTH COUNCIL, INC.",317 CLIMAX STREET  PITTSBURGH United States 15210 PA,413-431-3520,Clinic/Center Federally Qualified Health Center (FQHC),
"ASSOCIATES IN RESPIRATORY MEDICINE, LTD.",5131 LIBERTY AVE  PITTSBURGH United States 152242217 PA,412-687-5573,Specialist,
"B.W. MORRISON, M.D., P.C.",200 DELAFIELD RD SUITE 2010 PITTSBURGH United States 152153205 PA,412-782-0500,Obstetrics & Gynecology,Women & Reproductive Care
DRS PERKA MCCAULEY & CELIN,956 PERRY HWY  PITTSBURGH United States 152372107 PA,412-364-9969,Optometrist,
SAMS EAST INC,249 SUMMIT PARK DR  PITTSBURGH United States 152751221 PA,412-788-6313,Pharmacy Community/Retail Pharmacy,Pharmacy
SOUTH HILLS DERMATOLOGY PC,363 VANADIUM RD SUITE 101 PITTSBURGH United States 15243 PA,412-279-6799,Dermatology,
PENN CENTER CHIROPRACTIC CLINIC PC,3424 WM PENN HWY SUITE 168 PITTSBURGH United States 15235 PA,412-823-2180,Chiropractor,
"BIO-MEDICAL APPLICATIONS OF PENNSYLVANIA, INC.",5124 LIBERTY AVE  PITTSBURGH United States 152242257 PA,412-682-0205,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
EAST SUBURBAN MEDICAL SUPPLY INC,400 RODI RD  PITTSBURGH United States 152354519 PA,412-371-0661,Durable Medical Equipment & Medical Supplies Oxygen Equipment & Supplies,
MILESTONE CENTERS INC.,712 SOUTH AVE  PITTSBURGH United States 152212940 PA,412-243-3400,Community/Behavioral Health,
WEST PENN ALLEGHENY HEALTH SYSTEM INC.,320 E NORTH AVE  PITTSBURGH United States 152124756 PA,412-359-3131,Psychiatric Unit,
DCI RENAL SERVICES OF PITTSBURGH LLC,6314 FORBES AVE  PITTSBURGH United States 152171717 PA,412-521-4370,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
ASSOCIATED DENTAL SPECIALISTS,110 FORT COUCH RD  PITTSBURGH United States 152411030 PA,412-833-8400,Dentist Endodontics,Dental Care
"ACHIEVE REHAB SERVICES, LLC",4424 PENN AVE STE 205  PITTSBURGH United States 152241339 PA,412-687-4090,Speech-Language Pathologist  ,
JAMES J VELIKY,555 GRANT ST SUITE 100 PITTSBURGH United States 152194415 PA,412-281-5975,Optometrist,
ALLIANCE CARDIOLOGY GROUP,"21 YOST BLVD FOREST HILLS PLAZA, SUITE 216 PITTSBURGH United States 152215283 PA",412-823-3113,Specialist,
PITTSBURGH AUDIOLOGY & HEARING AID CENTER INC,2275 SWALLOW HILL RD SUITE 700 PITTSBURGH United States 152201656 PA,412-279-2181,Audiologist,Eye and Ear Care
"ROBINSON EMERGENCY MEDICAL SERVICE, INC",998 CHURCH HILL RD  PITTSBURGH United States 152059011 PA,412-787-5044,Ambulance Land Transport,
MCKEESPORT MED EQIP SVS,506 S MILLVALE AVE  PITTSBURGH United States 152242118 PA,412-687-0961,Durable Medical Equipment & Medical Supplies,
SPIEGEL FREEDMAN PSYCHOLOGICAL ASSOCIATES,105 BRAUNLICH DR SUITE 210 PITTSBURGH United States 152373348 PA,412-367-9800,Psychologist,
GIANT EAGLE INC,6320 SHAKESPEARE ST  PITTSBURGH United States 152064094 PA,412-361-5248,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,4110 BRIGHTON RD  PITTSBURGH United States 152121573 PA,412-761-1133,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,8080 MCINTYRE SQUARE DRIVE  PITTSBURGH United States 152375792 PA,412-364-8747,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,910 FREEPORT RD  PITTSBURGH United States 152383100 PA,412-781-1600,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,2021 WHARTON SQ  PITTSBURGH United States 152031913 PA,412-488-1802,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,51 WALSH RD  PITTSBURGH United States 152052336 PA,412-921-7450,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,1705 S BRADDOCK AVE  PITTSBURGH United States 152181865 PA,412-371-4456,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,1901 MURRAY AVE  PITTSBURGH United States 152171607 PA,412-421-2903,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,862 SLEEPY HOLLOW RD  PITTSBURGH United States 152342220 PA,412-563-2920,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,254 YOST BLVD  PITTSBURGH United States 152214818 PA,412-271-4445,Pharmacy Community/Retail Pharmacy,Pharmacy
UPMC ST MARGARET,3937 BUTLER ST  PITTSBURGH United States 152013222 PA,412-622-7343,Family Medicine,
"WEST PENN ALLEGHENY HEALTH SYSTEM, INC.",320 E NORTH AVE  PITTSBURGH United States 152124756 PA,412-359-3027,Internal Medicine Cardiovascular Disease,
UPMC ST MARGARET,5475 PENN AVE  PITTSBURGH United States 152063453 PA,412-362-1756,Family Medicine,
"PAIN & DISABILITY MANAGEMENT CONSULTANTS, P.C.",105 BRAUNLICH DR SUITE 410 PITTSBURGH United States 152373348 PA,412-635-2920,Pain Medicine Interventional Pain Medicine,
UNIVERSITY OF PITTSBURGH PHYSICIANS,200 LOTHROP ST  PITTSBURGH United States 152132536 PA,412-647-0943,Anesthesiology,
GIANT EAGLE INC,318-20 CEDAR AVE  PITTSBURGH United States 15212 PA,412-321-3553,Pharmacy Community/Retail Pharmacy,Pharmacy
WEST PENN ALLEGHENY HEALTH SYSTEM INC.,320 E NORTH AVE  PITTSBURGH United States 152124756 PA,412-359-3131,Clinic/Center End-Stage Renal Disease (ESRD) Treatment,
GIANT EAGLE INC,132 BEN AVON HEIGHTS RD  PITTSBURGH United States 152371202 PA,412-364-2671,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,100 SETTLERS RIDGE CENTER DR  PITTSBURGH United States 152051421 PA,412-490-5160,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,2611 FREEPORT RD  PITTSBURGH United States 152381411 PA,412-828-2277,Pharmacy Community/Retail Pharmacy,Pharmacy
GIANT EAGLE INC,9805 MCKNIGHT RD  PITTSBURGH United States 152376008 PA,412-366-3214,Pharmacy Community/Retail Pharmacy,Pharmacy
CHILDREN'S COMMUNITY CARE,2585 FREEPORT RD SUITE 203 PITTSBURGH United States 152381425 PA,412-828-4940,Pediatrics,
CHILDREN'S COMMUNITY CARE,4411 STILLEY RD 1ST FLOOR PITTSBURGH United States 152271368 PA,412-882-7747,Pediatrics,
CHILDREN'S COMMUNITY CARE,88 FORT COUCH RD SUITE 100 PITTSBURGH United States 152411034 PA,412-831-1114,Pediatrics,
CHILDREN'S COMMUNITY CARE,5608 WILKINS AVE SUITE 202 PITTSBURGH United States 152171281 PA,412-422-3590,Pediatrics,
CHILDREN'S COMMUNITY CARE,4615 FORBES AVE GRAPHIC ARTS BUILDING PITTSBURGH United States 152133742 PA,412-681-1050,Pediatrics,
CHILDREN'S COMMUNITY CARE,603 WASHINGTON RD SUITE 300 PITTSBURGH United States 152281909 PA,412-563-6151,Pediatrics,
CHILDREN'S COMMUNITY CARE,4923 CENTRE AVE  PITTSBURGH United States 152131805 PA,412-681-1050,Pediatrics,
UPMC SOUTH SIDE,2000 MARY ST  PITTSBURGH United States 152032054 PA,412-432-5500,General Acute Care Hospital,
